V1,V2
"m,o,z,s","mms,moms,sms,som,mos,zoom,zooms"
"s,o,n,m","mms,moms,sms,sno,som,sos,monos,mos,nos,snos,son"
"g,f,s,o","fog,gogo,fogs,gos,gogos"
"m,i,v,r","vvm,mim,mimr,rim,vimr"
"b,r,y,d","byrd,bryd,byd,dyb"
"h,s,e,d","hedde,hed,hede,heddes,hedes"
"d,o,j,r","ord,jod,jord,rod"
"t,d,n,o","ddt,dont,ton,not,ondt,tot,totn"
"e,p,t,h","hep,heppe,pep,peppe,pette,tee,tete,heppet,peppet,pet,pettet,teet"
"f,o,d,s","fos,sfo,fod,fods"
"s,n,o,a","ananas,assonans,snas,sno,sos,nas,nos,sans,snos,son"
"g,t,u,b","bugt,gut,tugt,utugt,bug"
"n,i,s,y","nyis,nysyn,sin,yin,isn,nis,nys,nyn,nysyns,syn,syns,yins"
"s,a,e,v","ase,esse,sav,save,ses,vase,vvs,aes,ases,aves,esses,savs,saves,vases,ves"
"m,l,j,e","elm,emme,meje,mel,mele,mellem,mellemleje,meme,elme,lem,lemme,mej"
"h,i,n,t","hin,hint,hittit,thi,hit"
"t,d,a,j","dat,data,datja,ddt,tja,tjat"
"f,t,l,a","aftalt,alf,alfa,fat,fatal,ftalat,laf,taft,affat,aftal,fatalt"
"i,s,y,l","issyl,isy,ils,issyls,isys,lis,sis,sil"
"a,p,n,k","app,kanaan,kappa,nappa,pak,pap,papa,ank,kap,knap,kan,nak,nap"
"n,t,d,o","dont,ond,ton,not,ondt,totn"
"m,i,r,t","mit,mim,mimr,rim,trim"
"n,i,e,p","nip,nippe,pen,ene,enen,nippene,pennen,pennene,penne,pien,pine,pinen,pin,pippene"
"i,m,v,a","imam,miav,via,viv,mim"
"i,m,s,d","did,dims,mis,miss,sid,dis,ids,mim,sis,smid"
"a,t,f,h","aha,fat,hat,taft,affat,haft"
"o,c,a,t","taco,tao,tattoo,toccata,coat,tot"
"u,t,k,l","kukkuk,kul,kult,lukt,lut,ulk,kluk,kuk,luk,lul,tul,tut"
"l,d,p,a","alp,dal,lal,lala,pal,adl,dadl,lad,lap,padl"
"f,t,a,w","fat,fatwa,taft,affat"
"b,a,n,g","baggang,banan,bang,gab,bag,ban"
"g,i,u,m","gig,gummi,mug,mig"
"n,d,a,p","and,dna,nappa,panda,papand,dan,nap,pand"
"t,m,r,i","trit,mit,rit,tir,tit,trim"
"o,d,l,b","blod,bob,lob,obo,bobl,bod,bold,bol,dobl,lod"
"e,a,n,u","ane,anen,annuaene,ene,enen"
"r,a,b,i","ara,barbar,barbari,rabbi,rar,rib,air,bar,rir"
"n,l,u,s","lun,luns,nus,snu,snus,nul,nuls,nusl"
"i,p,u,n","nip,pinup,pin,pip"
"m,a,g,t","amt,atm,gamma,mag,magma,magt,mama,tam,tamtam,mat,tamt"
"e,o,r,v","ovre,roe,roer,verve,over,overe,reer,rev,roere,veer,vore,vove,vover"
"d,p,i,s","did,dip,sid,spid,dips,dis,ids,spids"
"o,m,k,i","komik,kok,kom,mok,omkom"
"d,i,v,a","dav,david,did,diva,dvd,vad,dada,vid"
"o,n,r,l","nolo,nor,orlon,rollon,ror,nol"
"m,p,h,u","muh,pump,hum,hump"
"n,l,i,d","din,ind,lin,nid,ildn,lind"
"u,b,l,f","blu,bluf,bluff,bul,ful,ublu,luf,lul"
"i,n,s,y","isy,nyis,sin,yin,isn,isys,nis,sis,yins"
"i,r,h,d","did,hid,hird,dir,rir,rid"
"f,r,l,o","fol,fro,for,flor,ofr"
"d,f,e,j","dej,fede,feed,fjed,deje,ejede,fed,fedede,fejde,fejd,fejdede,fejede"
"h,t,y,e","hey,thy,hytte,hyt,hyttet"
"i,u,s,v","sisu,siv,uvis,viv,sis,sisus,sivs,svi,vis,vivs"
"n,e,f,o","effen,fenne,neon,none,nonne,efne,ene,enen,feen,fennen,fon,fonen,neonen,nonen,nonnen"
"m,e,o,k","emme,kemo,meme,memo,omkomme,omme,komme,kom,mokke,mok,omkom"
"o,m,s,d","moms,odds,sod,som,sos,dos,dom,doms,mod,mods,mos,ods,sods"
"j,s,t,u","just,sjus,sjut"
"r,u,o,e","euro,roe,roer,ror,rur,euroer,reer,roere,rurer,urer,ure,uro,uroer,uror"
"k,o,g,e","ekg,ekko,ekkoe,gekko,gok,gokke,koge,kogge,kog,kok,kokke"
"e,b,k,u","bebe,bukke,kube,kue,kukke,bue,ebbe"
"j,t,n,e","neje,tejne,tjene,eje,ejet,jet,jetten,jettene,nej,nejet,tejnen,tjen,tjent,tjente"
"f,d,l,i","fif,flid,fifl,fil"
"n,b,s,a","ananas,banan,snas,banans,ban,nas,sans"
"b,s,a,i","abs,bas,basis,bias,bis,ibis,bais"
"d,o,x,i","did,dioxid,oxid"
"d,o,s,g","dog,god,odds,sod,dos,gods,ods,sods"
"s,a,r,m","mars,mas,mms,sar,sms,ars,aras,arms,mamas,rams,ras,sars"
"l,k,g,a","alk,galla,kagl,kalla,lag,lak,lal,lala,gal,kalk,klag"
"k,u,f,s","fuks,fusk,kuf,kukkuk,kusk,suk,fusks,kufs,kuk,kuks,kusks,sku,skuf,suks"
"o,d,n,f","nonfood,ond,fod,fon,fond"
"r,s,o,v","orv,ror,rov,ros,rors,rovs,svor,vor"
"e,g,y,h","eeg,hey,ege,hygge"
"i,e,l,j","ile,lilje,lille,lei"
"e,k,a,d","dekade,ked,kede,aede,kedede"
"a,m,n,p","app,mama,manna,nappa,pampa,panama,pap,papa,annam,man,nap"
"b,r,o,d","bob,bro,bror,obo,bor,bod,bord,brod"
"h,k,s,o","hook,hos,oho,hooks"
"m,s,u,h","hummus,humus,mms,muh,mus,sms,hum,sum,sums"
"m,n,o,t","mon,mono,monoton,motto,tom,tomt,monotont"
"g,s,j,e","eeg,ges,egs,ege,eges,jeg,jegs"
"y,p,r,d","dryp,dyd,dyp,pryd,dyr,ryd"
"m,t,d,e","emde,emme,meme,dem,emmet,emmede,med,mede,medet,medede,memet"
"s,u,e,b","bese,bus,buse,esse,ses,sus,suse,usb,usus,beses,bues,buses,ebbes,esses,suses"
"t,e,m,u","mut,tee,tete,tue,tuet,tutte,emmet,memet,mutte,teet,tut,tuttet"
"l,s,f,u","flus,ful,lus,sul,luf,lul,slus,suls"
"a,l,v,m","avl,lal,lala,lava,malm,mama,val,valm,lam,lama,lav,mal,mav"
"l,p,a,r","alp,lal,lala,pal,pral,ral,lap,plapr"
"e,b,n,z","bebe,ben,bene,benzen,zen,benene,ebbe,ebben,ene,enen"
"d,o,j,u","duo,judo,udu,jod"
"t,p,i,u","itu,pit,put,tipi,tutti,putti,tip,tit,tut"
"a,n,p,t","app,atp,nappa,nat,pant,pap,papa,tant,tap,nap,pat"
"l,d,i,y","dild,idyl,ild,lid,lyd"
"s,l,f,y","syl,flys,lys,sys,syls,sysl"
"s,f,i,n","fnis,sin,snif,fis,fifs,isn,nis,sis,snifs"
"f,u,g,s","guf,fug,fus,gufs"
"r,a,g,f","ara,arg,far,farfar,fra,graf,rag,raga,rar,agrar"
"b,o,h,e","bebe,bebo,beo,bob,bobbe,hob,hobe,obo,ebbe"
"o,f,j,r","fjor,forfjor,fro,ror,for,ofr"
"o,y,r,g","gogo,gro,grog,groggy,gyro,ror,yoyo,gror"
"s,r,o,d","odds,sod,sos,dos,ods,ords,ros,rods,rors,sods"
"l,i,a,o","aioli,lal,lala,lilla"
"b,u,k,e","bebe,bukke,kube,bue,buk,ebbe"
"p,j,l,e","jeep,peele,pejle,pep,peppe,plejl,peel,pejl,pleje,plej,plejle"
"s,m,h,u","hummus,humus,hus,mms,mus,sms,sus,usus,sum,sums"
"g,u,m,i","gig,gummi,mug,mig"
"l,t,k,u","kul,kult,lukt,lut,ulk,kluk,luk,lul,tul"
"i,t,d,m","did,midt,midti,tid,timid,dit,mit,mim,timidt,tit"
"o,s,r,g","gogo,gro,grog,ror,sorg,sos,gos,gogos,gror,grogs,gros,ros,rors,sorgs"
"a,s,o,n","ananas,anno,assonans,snas,nas,sans"
"r,t,k,i","kir,kritik,trit,rir,rit,tir"
"l,u,s,v","lus,sul,ulv,lul,luv,luvs,slus,suls,ulvs"
"u,r,a,z","aura,azur,rur"
"l,r,f,a","alf,alfa,laf,lal,lala,ral,rafl"
"e,g,v,u","eeg,egu,uge,vue,ege,veg,vege,vugge"
"t,s,h,o","host,hot,shot,sot,hosts,ost,osts,shots,sots,tos,tot,tots"
"l,v,g,o","glo,logo,vlog,googl,log,lov"
"u,k,n,g","gnu,knug,kukkuk,kun,nuuk,ung,kuk"
